"game_id","player_id","pos","player","team","pass_cmp","pass_att","pass_yds","pass_td","pass_int","pass_sacked","pass_sacked_yds","pass_long","pass_rating","rush_att","rush_yds","rush_td","rush_long","targets","rec","rec_yds","rec_td","rec_long","fumbles_lost","rush_scrambles","designed_rush_att","comb_pass_rush_play","comb_pass_play","comb_rush_play","Team_abbrev","Opponent_abbrev","two_point_conv","total_ret_td","offensive_fumble_recovery_td","pass_yds_bonus","rush_yds_bonus","rec_yds_bonus","Total_DKP","Off_DKP","Total_FDP","Off_FDP","Total_SDP","Off_SDP","pass_target_yds","pass_poor_throws","pass_blitzed","pass_hurried","rush_yds_before_contact","rush_yac","rush_broken_tackles","rec_air_yds","rec_yac","rec_drops","offense","off_pct","vis_team","home_team","vis_score","home_score","OT","Roof","Surface","Temperature","Humidity","Wind_Speed","Vegas_Line","Vegas_Favorite","Over_Under","game_date"
"202109120atl","ZaccOl01","WR","Olamide Zaccheaus","ATL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ATL","PHI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,26,"PHI","ATL",32,6,"False","retractable roof (open)","fieldturf",72,45,0,-3.5,"ATL",49,2021-09-12
"202109120atl","SharTa00","WR","Tajae Sharpe","ATL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ATL","PHI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,14,"PHI","ATL",32,6,"False","retractable roof (open)","fieldturf",72,45,0,-3.5,"ATL",49,2021-09-12
"202109120atl","BlakCh00","WR","Christian Blake","ATL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ATL","PHI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,"PHI","ATL",32,6,"False","retractable roof (open)","fieldturf",72,45,0,-3.5,"ATL",49,2021-09-12
"202109120atl","HessPa00","TE","Parker Hesse","ATL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ATL","PHI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,"PHI","ATL",32,6,"False","retractable roof (open)","fieldturf",72,45,0,-3.5,"ATL",49,2021-09-12
"202109120atl","PattCo00","RB","Cordarrelle Patterson","ATL",0,0,0,0,0,0,0,0,0,7,54,0,14,2,2,13,0,12,0,0,7,7,0,7,"ATL","PHI",0,0,0,0,0,0,8.7,8.7,7.7,7.7,7.7,7.7,0,0,0,0,35,19,1,5,8,0,24,33,"PHI","ATL",32,6,"False","retractable roof (open)","fieldturf",72,45,0,-3.5,"ATL",49,2021-09-12
"202109120atl","DaviMi01","RB","Mike Davis","ATL",0,0,0,0,0,0,0,0,0,15,49,0,12,6,3,23,0,9,0,0,15,15,0,15,"ATL","PHI",0,0,0,0,0,0,10.2,10.2,8.7,8.7,8.7,8.7,0,0,0,0,29,20,1,-3,25,0,54,75,"PHI","ATL",32,6,"False","retractable roof (open)","fieldturf",72,45,0,-3.5,"ATL",49,2021-09-12
"202109120atl","SmitKe03","TE","Keith Smith","ATL",0,0,0,0,0,0,0,0,0,2,13,0,8,3,3,18,0,9,0,0,2,2,0,2,"ATL","PHI",0,0,0,0,0,0,6.1,6.1,4.6,4.6,4.6,4.6,0,0,0,0,13,0,0,9.9,8,0,21,29,"PHI","ATL",32,6,"False","retractable roof (open)","fieldturf",72,45,0,-3.5,"ATL",49,2021-09-12
"202109120atl","RidlCa00","WR","Calvin Ridley","ATL",0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,51,0,16,0,0,0,0,0,0,"ATL","PHI",0,0,0,0,0,0,10.1,10.1,7.6,7.6,7.6,7.6,0,0,0,0,0,0,0,92,6,1,61,85,"PHI","ATL",32,6,"False","retractable roof (open)","fieldturf",72,45,0,-3.5,"ATL",49,2021-09-12
"202109120atl","PittKy00","TE","Kyle Pitts","ATL",0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,31,0,18,0,0,0,0,0,0,"ATL","PHI",0,0,0,0,0,0,7.1,7.1,5.1,5.1,5.1,5.1,0,0,0,0,0,0,0,60,2,0,49,68,"PHI","ATL",32,6,"False","retractable roof (open)","fieldturf",72,45,0,-3.5,"ATL",49,2021-09-12
"202109120atl","ArceJJ00","WR","JJ Arcega-Whiteside","PHI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"PHI","ATL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,23,"PHI","ATL",32,6,"False","retractable roof (open)","fieldturf",72,45,0,-3.5,"ATL",49,2021-09-12
"202109120atl","WardGr02","WR","Greg Ward","PHI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"PHI","ATL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,23,"PHI","ATL",32,6,"False","retractable roof (open)","fieldturf",72,45,0,-3.5,"ATL",49,2021-09-12
